,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2018/9/6,50ETF购9月2700,认购,2.7,2018/9/26 0:00,0.0046
2018/9/6,50ETF沽9月3000,认沽,3,2018/9/26 0:00,0.5275
2018/9/6,50ETF沽9月3500,认沽,3.5,2018/9/26 0:00,1.0158
2018/9/6,50ETF沽9月2400,认沽,2.4,2018/9/26 0:00,0.0295
2018/9/6,50ETF购9月3400,认购,3.4,2018/9/26 0:00,0.0002
2018/9/6,50ETF沽9月2500,认沽,2.5,2018/9/26 0:00,0.0739
2018/9/6,50ETF购9月2250,认购,2.25,2018/9/26 0:00,0.226
2018/9/6,50ETF购9月2600,认购,2.6,2018/9/26 0:00,0.0165
2018/9/6,50ETF购10月2550,认购,2.55,2018/10/24 0:00,0.053
2018/9/6,50ETF购10月2500,认购,2.5,2018/10/24 0:00,0.072
2018/9/6,50ETF购10月2700,认购,2.7,2018/10/24 0:00,0.0169
2018/9/6,50ETF沽10月2300,认沽,2.3,2018/10/24 0:00,0.0244
2018/9/6,50ETF购10月2600,认购,2.6,2018/10/24 0:00,0.037
2018/9/6,50ETF购10月2750,认购,2.75,2018/10/24 0:00,0.0103
2018/9/6,50ETF沽10月2550,认沽,2.55,2018/10/24 0:00,0.1275
2018/9/6,50ETF购10月2350,认购,2.35,2018/10/24 0:00,0.1601
2018/9/6,50ETF沽10月2750,认沽,2.75,2018/10/24 0:00,0.2855
2018/9/6,50ETF沽10月2450,认沽,2.45,2018/10/24 0:00,0.0725
2018/9/6,50ETF购10月2300,认购,2.3,2018/10/24 0:00,0.1981
2018/9/6,50ETF沽10月2350,认沽,2.35,2018/10/24 0:00,0.0364
2018/9/6,50ETF沽10月2500,认沽,2.5,2018/10/24 0:00,0.0975
2018/9/6,50ETF购10月2450,认购,2.45,2018/10/24 0:00,0.0969
2018/9/6,50ETF购10月2650,认购,2.65,2018/10/24 0:00,0.0253
2018/9/6,50ETF沽10月2400,认沽,2.4,2018/10/24 0:00,0.0522
2018/9/6,50ETF沽10月2700,认沽,2.7,2018/10/24 0:00,0.2422
2018/9/6,50ETF沽10月2650,认沽,2.65,2018/10/24 0:00,0.2003
2018/9/6,50ETF购10月2400,认购,2.4,2018/10/24 0:00,0.1273
2018/9/6,50ETF沽10月2600,认沽,2.6,2018/10/24 0:00,0.1632
2018/9/6,50ETF沽12月2350,认沽,2.35,2018/12/26 0:00,0.0743
2018/9/6,50ETF沽12月2500,认沽,2.5,2018/12/26 0:00,0.143
2018/9/6,50ETF沽12月2450,认沽,2.45,2018/12/26 0:00,0.117
2018/9/6,50ETF购12月2500,认购,2.5,2018/12/26 0:00,0.1209
2018/9/6,50ETF沽12月2900,认沽,2.9,2018/12/26 0:00,0.4295
2018/9/6,50ETF购12月2400,认购,2.4,2018/12/26 0:00,0.171
2018/9/6,50ETF沽12月2200,认沽,2.2,2018/12/26 0:00,0.0335
2018/9/6,50ETF购12月2250,认购,2.25,2018/12/26 0:00,0.27
2018/9/6,50ETF沽12月2300,认沽,2.3,2018/12/26 0:00,0.058
2018/9/6,50ETF沽12月2550,认沽,2.55,2018/12/26 0:00,0.1709
2018/9/6,50ETF购12月2650,认购,2.65,2018/12/26 0:00,0.0664
2018/9/6,50ETF购12月2300,认购,2.3,2018/12/26 0:00,0.235
2018/9/6,50ETF购12月2700,认购,2.7,2018/12/26 0:00,0.0535
2018/9/6,50ETF购12月2750,认购,2.75,2018/12/26 0:00,0.0429
2018/9/6,50ETF沽12月2750,认沽,2.75,2018/12/26 0:00,0.3108
2018/9/6,50ETF购12月2800,认购,2.8,2018/12/26 0:00,0.0345
2018/9/6,50ETF购12月2450,认购,2.45,2018/12/26 0:00,0.1456
2018/9/6,50ETF沽12月2950,认沽,2.95,2018/12/26 0:00,0.4779
2018/9/6,50ETF沽12月2600,认沽,2.6,2018/12/26 0:00,0.2015
2018/9/6,50ETF沽12月2800,认沽,2.8,2018/12/26 0:00,0.3512
2018/9/6,50ETF沽12月2700,认沽,2.7,2018/12/26 0:00,0.2741
2018/9/6,50ETF购12月2850,认购,2.85,2018/12/26 0:00,0.0264
2018/9/6,50ETF沽12月2250,认沽,2.25,2018/12/26 0:00,0.0447
